prioridad,tipo,urba_club_id,nombre,categoria,sufijo,union_id,sport,logo_url,id_sugerido,institucion_padre_urba_id,anios,veces,motivo
1,institucion,201,15 de Diciembre,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/15dediciembre.png,15-de-diciembre,,2021 2022 2023,5,no existe en el padrón
1,institucion,202,AG Propiedades,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/agpropiedades.png,ag-propiedades,,2021 2022,3,no existe en el padrón
1,institucion,121,Aguiluchos Rugby,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/aguiluchosrugby.png,aguiluchos-rugby,,2024 2025 2026,5,no existe en el padrón
1,institucion,61,Albatros,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/albatros.png,albatros,,2021 2022 2023 2024 2025 2026,47,no existe en el padrón
1,institucion,74,Almafuerte,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/almafuerte.png,almafuerte,,2021 2022 2023 2024 2025 2026,43,no existe en el padrón
1,institucion,67,Arsenal Zarate,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/arsenalzarate.png,arsenal-zarate,,2021 2022 2023 2024 2025 2026,40,no existe en el padrón
1,institucion,60,Atletico Chascomus,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/atleticochascomus.png,atletico-chascomus,,2021 2022 2023 2024 2025 2026,43,no existe en el padrón
1,institucion,75,Atletico San Andres,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/atleticosanandres.png,atletico-san-andres,,2021 2022 2023 2024 2025 2026,36,Atlético San Andrés es distinto de San Andrés (id 31)
1,institucion,63,Atletico y Progreso,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/atleticoyprogreso.png,atletico-y-progreso,,2021 2022 2023 2024 2025 2026,45,no existe en el padrón
1,institucion,109,Banco Central,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/bancocentral.png,banco-central,,2021 2022 2023 2024 2025 2026,9,no existe en el padrón
1,institucion,80,Banco Hipotecario,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/bancohipotecario.png,banco-hipotecario,,2021 2022 2023 2024 2025 2026,38,no existe en el padrón
