urba_id,external_id,nombre,anio,division,age_grade,gender,rueda,rueda_mostrada,series_key,equipos,partidos,partidos_jugados,g22_tournament_id,g22_nombre,g22_external_id_ajeno,g22_modelo,estado,confianza
2021001,urba:2021001,Desarrollo - Intermedia,2021,Desarrollo,mayores,masculino,unica,unica,,9,32,32,,,,,falta,ninguna
2021002,urba:2021002,Desarrollo - Superior,2021,Desarrollo,mayores,masculino,unica,unica,,11,58,58,,,,,falta,ninguna
2021003,urba:2021003,Empresarial - Zona A,2021,Empresarial,mayores,masculino,unica,unica,,8,28,28,,,,,falta,ninguna
2021004,urba:2021004,Empresarial - Zona B,2021,Empresarial,mayores,masculino,unica,unica,,9,35,35,,,,,falta,ninguna
2021005,urba:2021005,Femenino - SEVEN - Campeonato - Segunda Rueda,2021,otro,mayores,femenino,segunda,segunda,,6,15,15,,,,,falta,ninguna
2021006,urba:2021006,Femenino - SEVEN - Desarrollo - Segunda Rueda,2021,Desarrollo,mayores,femenino,segunda,segunda,,5,10,10,,,,,falta,ninguna
2021007,urba:2021007,Femenino - Seven - Zona A,2021,otro,mayores,femenino,unica,unica,,5,10,10,,,,,falta,ninguna
2021008,urba:2021008,Femenino - Seven - Zona B,2021,otro,mayores,femenino,unica,unica,,5,10,10,,,,,falta,ninguna
2021009,urba:2021009,Femenino - Ten - Zona A,2021,otro,mayores,femenino,unica,unica,,6,15,15,,,,,falta,ninguna
2021010,urba:2021010,Femenino - Ten - Zona B,2021,otro,mayores,femenino,unica,unica,,6,15,15,,,,,falta,ninguna
2021011,urba:2021011,Femenino - Ten - Zona Campeonato - Segunda Rueda,2021,otro,mayores,femenino,segunda,segunda,,4,6,6,,,,,falta,ninguna
2021012,urba:2021012,Femenino - Zona Campeonato - Segunda Rueda,2021,otro,mayores,femenino,segunda,segunda,,4,6,6,,,,,falta,ninguna
2021013,urba:2021013,Femenino - Zona Desarrollo - Segunda Rueda,2021,Desarrollo,mayores,femenino,segunda,segunda,,4,6,6,,,,,falta,ninguna
2021014,urba:2021014,Menores de 15 - Grupo 1 - Formativa A - Segunda Rueda,2021,Formativo,M15,masculino,segunda,segunda,,8,26,26,,,,,falta,ninguna
2021015,urba:2021015,Menores de 15 - Grupo 1 - Zona A - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,25,25,,,,,falta,ninguna
2021016,urba:2021016,Menores de 15 - Grupo 1 - Zona B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021017,urba:2021017,Menores de 15 - Grupo 1 - Zona C - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,10,33,33,,,,,falta,ninguna
2021018,urba:2021018,Menores de 15 - Grupo 2 - Zona A - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021019,urba:2021019,Menores de 15 - Grupo 2 - Zona A - Equipos B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021020,urba:2021020,Menores de 15 - Grupo 2 - Zona B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021021,urba:2021021,Menores de 15 - Grupo 2 - Zona B - Equipos B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021022,urba:2021022,Menores de 15 - Grupo 2 - Zona C - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021023,urba:2021023,Menores de 15 - Grupo 2 - Zona C - Equipos B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021024,urba:2021024,Menores de 15 - Grupo 2 - Zona D - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,9,28,28,,,,,falta,ninguna
2021025,urba:2021025,Menores de 15 - Grupo 2 - Zona D - Equipos B - Segunda Rueda,2021,otro,M15,masculino,segunda,segunda,,9,28,28,,,,,falta,ninguna
2021026,urba:2021026,Menores de 16 - Grupo 1 - Formativa A - Segunda Rueda,2021,Formativo,M16,masculino,segunda,segunda,,10,34,34,,,,,falta,ninguna
2021027,urba:2021027,Menores de 16 - Grupo 1 - Zona A - Segunda Rueda,2021,otro,M16,masculino,segunda,segunda,,8,27,27,,,,,falta,ninguna
2021028,urba:2021028,Menores de 16 - Grupo 1 - Zona B - Segunda Rueda,2021,otro,M16,masculino,segunda,segunda,,8,28,28,,,,,falta,ninguna
2021029,urba:2021029,Menores de 16 - Grupo 1 - Zona C - Primera Rueda,2021,otro,M16,masculino,primera,primera,urba:serie:2021029,9,28,28,,,,,falta,ninguna
2021030,urba:2021030,Menores de 16 - Grupo 1 - Zona C - Segunda Rueda,2021,otro,M16,masculino,segunda,segunda,urba:serie:2021029,8,28,28,,,,,falta,ninguna
2021031,urba:2021031,Menores de 16 - Grupo 1 - Zona D - Primera Rueda,2021,otro,M16,masculino,primera,primera,urba:serie:2021031,6,15,15,,,,,falta,ninguna
2021032,urba:2021032,Menores de 16 - Grupo 1 - Zona D - Segunda Rueda,2021,otro,M16,masculino,segunda,segunda,urba:serie:2021031,8,27,27,,,,,falta,ninguna
2021033,urba:2021033,Menores de 16 - Grupo 1 - Zona E,2021,otro,M16,masculino,unica,unica,,7,21,21,,,,,falta,ninguna
