urba_club_id,nombre_institucion,nombre_equipo,sufijo,categoria,divisiones,anios,veces,g22_club_id,g22_nombre,g22_union,estado,confianza
201,15 de Diciembre,15 de Diciembre,,empresarial,Empresarial - Campeonato | Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha A | Empresarial - Zona A,2021 2022 2023,4,,,,club_no_existe,ninguna
201,15 de Diciembre,15 de Diciembre B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
202,AG Propiedades,AG Propiedades,,empresarial,Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha B | Empresarial - Zona A,2021 2022,3,,,,club_no_existe,ninguna
109,Banco Central,Banco Central,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo A | Empresarial - Segunda División | Empresarial - Zona A,2021 2022 2023,4,,,,club_no_existe,ninguna
203,Cabaña Camino Viejo,Cabaña Camino Viejo,,empresarial,Empresarial - Campeonato | Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha B,2022 2023,3,,,,club_no_existe,ninguna
114,Ciervos Pampas,Ciervos Pampas,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo A | Empresarial - Tercera División,2022 2023,3,,,,club_no_existe,ninguna
204,Circulo Policia Federal,Circulo Policia Federal,,empresarial,Empresarial - Campeonato | Empresarial - Desarrollo,2022 2023,2,,,,club_no_existe,ninguna
204,Circulo Policia Federal,Circulo Policia Federal B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
125,CIRFAA Patriotas Rugby,Patriotas,,empresarial,Empresarial - Campeonato | Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha B | Empresarial - Zona A,2021 2022 2023,4,,,,club_no_existe,ninguna
205,Distribuidora del Oeste,Distribuidora del Oeste,,empresarial,Empresarial - Desarrollo | Empresarial - Zona B,2021 2022,2,,,,club_no_existe,ninguna
112,Elaion,Elaion,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo B | Empresarial - Tercera División | Empresarial - Zona B,2021 2022 2023,4,,,,club_no_existe,ninguna
108,Ensenada,Ensenada,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo A | Empresarial - Tercera División | Empresarial - Zona B,2021 2022 2023,4,,,,club_no_existe,ninguna
122,Espartanos,Espartanos,,empresarial,Empresarial - Desarrollo B | Empresarial - Segunda División,2023,2,,,,club_no_existe,ninguna
207,Laz Spare Parts,Laz Spare Parts,,empresarial,Empresarial - Desarrollo B | Empresarial - Segunda División,2023,2,,,,club_no_existe,ninguna
124,Manzanares R.C.,Manzanares,,empresarial,Empresarial - Campeonato,2023,1,,,,club_no_existe,ninguna
124,Manzanares R.C.,Manzanares B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
123,Municipalidad de Avellaneda,Munic de Avellaneda,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo A | Empresarial - Segunda División,2022 2023,3,,,,club_no_existe,ninguna
123,Municipalidad de Avellaneda,Munic de Avellaneda B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
119,Municipalidad de Moreno,Municipalidad de Moreno,,empresarial,Empresarial - Desarrollo A | Empresarial - Segunda División,2023,2,,,,club_no_existe,ninguna
209,Omar Etcheverry,Omar Etcheverry,,empresarial,Empresarial - Campeonato | Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha A | Empresarial - Zona A,2021 2022 2023,4,,,,club_no_existe,ninguna
209,Omar Etcheverry,Omar Etcheverry B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
210,Pacific Shark,Pacific Shark,,empresarial,Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha A | Empresarial - Desarrollo B | Empresarial - Segunda División | Empresarial - Zona A,2021 2022 2023,5,,,,club_no_existe,ninguna
211,Policia de la Ciudad,Policia de la Ciudad,,empresarial,Empresarial - Campeonato | Empresarial - Desarrollo | Empresarial - Zona B,2021 2022 2023,3,,,,club_no_existe,ninguna
212,Rectificación Parra Pilar,Rectificación Parra Pilar,,empresarial,Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha B | Empresarial - Zona A,2021 2022,3,,,,club_no_existe,ninguna
213,RESTA,RESTA,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo B | Empresarial - Tercera División | Empresarial - Zona B,2021 2022 2023,4,,,,club_no_existe,ninguna
214,Robles Campos,Robles Campos,,empresarial,Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha A | Empresarial - Zona B,2021 2022,3,,,,club_no_existe,ninguna
215,SATSAID,SATSAID,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo B | Empresarial - Tercera División | Empresarial - Zona B,2021 2022 2023,4,,,,club_no_existe,ninguna
216,Tactical Lacsi,Tactical Lacsi,,empresarial,Empresarial - Zona B,2021,1,,,,club_no_existe,ninguna
217,Telnet Soluciones,Telnet Soluciones,,empresarial,Empresarial - Campeonato | Empresarial - Desarrollo,2022 2023,2,,,,club_no_existe,ninguna
217,Telnet Soluciones,Telnet Soluciones B,B,empresarial,Empresarial - Intermedia,2023,1,,,,club_no_existe,ninguna
218,TEQNA,TEQNA,,empresarial,Empresarial - Zona A,2021,1,,,,club_no_existe,ninguna
130,Tizal,Tizal,,empresarial,Empresarial - Desarrollo | Empresarial - Desarrollo A | Empresarial - Tercera División,2022 2023,3,,,,club_no_existe,ninguna
220,UBA Sociales,UBA Sociales,,empresarial,Empresarial - Desarrollo,2022,1,,,,club_no_existe,ninguna
116,Univ. Nac de Quilmes,Universidad de Quilmes,,empresarial,Empresarial - Desarrollo B | Empresarial - Segunda División,2023,2,,,,club_no_existe,ninguna
103,Univ. Nac de San Martin,Univ. De San Martin,,empresarial,Empresarial - Campeonato - Clasificación | Empresarial - Campeonato - Revancha A | Empresarial - Desarrollo A | Empresarial - Segunda División | Empresarial - Zona B,2021 2022 2023,5,,,,club_no_existe,ninguna
