provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,201|empresarial|,15-de-diciembre,201,empresarial,"",exacto,institucion,1,15 de Diciembre,15 de Diciembre,2021 2022 2023,4
urba,201|empresarial|B,15-de-diciembre,201,empresarial,B,exacto,institucion,1,15 de Diciembre,15 de Diciembre B,2023,1
urba,202|empresarial|,ag-propiedades,202,empresarial,"",exacto,institucion,1,AG Propiedades,AG Propiedades,2021 2022,3
urba,121|formativo|,aguiluchos-rugby,121,formativo,"",exacto,institucion,1,Aguiluchos Rugby,Aguiluchos Rugby,2024 2025 2026,5
urba,61|intermedia|,albatros,61,intermedia,"",exacto,institucion,1,Albatros,Albatros,2022 2023 2024 2025 2026,5
urba,61|mayores|,albatros,61,mayores,"",exacto,institucion,1,Albatros,Albatros,2021 2022 2023 2024 2025 2026,6
urba,74|intermedia|,almafuerte,74,intermedia,"",exacto,institucion,1,Almafuerte,Almafuerte,2021 2022 2023 2024 2025 2026,7
urba,74|mayores|,almafuerte,74,mayores,"",exacto,institucion,1,Almafuerte,Almafuerte,2021 2022 2023 2024 2025 2026,7
urba,67|intermedia|,arsenal-zarate,67,intermedia,"",exacto,institucion,1,Arsenal Zarate,Arsenal Zarate,2021 2022 2023 2024 2025 2026,6
urba,67|mayores|,arsenal-zarate,67,mayores,"",exacto,institucion,1,Arsenal Zarate,Arsenal Zarate,2021 2022 2023 2024 2025 2026,7
urba,60|intermedia|,atletico-chascomus,60,intermedia,"",exacto,institucion,1,Atletico Chascomus,Atletico Chascomus,2022 2023 2024 2025 2026,5
urba,60|mayores|,atletico-chascomus,60,mayores,"",exacto,institucion,1,Atletico Chascomus,Atletico Chascomus,2021 2022 2023 2024 2025 2026,6
urba,75|femenino|,atletico-san-andres,75,femenino,"",exacto,institucion,1,Atletico San Andres,Atletico San Andres,2021 2022 2023 2024 2025,9
urba,75|intermedia|,atletico-san-andres,75,intermedia,"",exacto,institucion,1,Atletico San Andres,Atletico San Andres,2021 2022 2023 2024 2025 2026,6
urba,75|mayores|,atletico-san-andres,75,mayores,"",exacto,institucion,1,Atletico San Andres,Atletico San Andres,2021 2022 2023 2024 2025 2026,6
urba,63|femenino|,atletico-y-progreso,63,femenino,"",exacto,institucion,1,Atletico y Progreso,Atletico y Progreso,2022 2023 2026,5
